Variable Angle Spectroscopic Ellipsometric (VASE) Data
Wavelength (nm)	Psi (65.00, 70.00, 75.00°)	Delta (65.00, 70.00, 75.00°)									Model	
436.871826	35.683735	103.091263	36.042553	104.448708	26.701710	102.098328	26.741962	102.889565	14.735473	106.328987	15.203566	106.942642	
438.463135	34.025429	104.928070	34.415936	105.900276	24.940073	107.050194	25.179737	107.584343	11.992144	116.979523	12.611724	116.845993	
440.054291	32.598377	107.033752	32.947544	107.933121	23.241838	112.304024	23.622065	112.933815	9.659832	131.034042	10.186593	130.455093	
441.645599	31.268389	109.786362	31.600983	110.493156	21.830448	118.829323	22.085520	119.011292	7.901120	153.105392	8.233585	150.014236	
443.236755	29.909786	112.938507	30.350817	113.540047	20.326115	125.531258	20.598358	125.903160	6.977967	180.313156	7.253491	176.578354	
444.827881	28.812792	116.467033	29.179548	117.045410	19.079107	133.985748	19.200161	133.704102	7.608115	208.099197	7.644115	204.785904	
446.419098	27.848024	120.415573	28.076643	120.988899	17.661642	141.863968	17.942459	142.493225	9.270391	229.677048	9.175743	227.020081	
448.010193	26.525661	125.036682	27.037666	125.354324	16.723671	152.567902	16.886660	152.290909	11.526187	244.379669	11.303417	242.427795	
449.601318	25.742500	130.128571	26.062685	130.129486	15.922373	163.428345	16.096926	163.009247	14.040632	254.577377	13.649803	253.279968	
451.192627	24.873558	135.165451	25.155928	135.301773	15.484857	174.634262	15.629304	174.399231	16.276165	261.524567	16.021795	261.367920	
452.783600	24.022684	140.885971	24.325207	140.853455	15.546693	186.762924	15.517283	186.048477	18.591242	267.778046	18.324543	267.715729	
454.374695	23.210655	147.137634	23.580173	146.764160	15.776982	197.772842	15.760998	197.476135	20.843410	-86.803688	20.514849	-87.105408	
455.965820	22.774666	153.787231	22.932306	153.001785	16.340631	208.321869	16.327301	208.249451	22.812433	-82.755661	22.575457	-82.770866	
457.556793	22.093765	160.385574	22.393389	159.522202	17.395029	218.119064	17.160130	218.086731	24.694368	-79.264481	24.505026	-79.086258	
459.147858	21.825897	167.068802	21.974276	166.268402	18.436977	226.903900	18.195404	226.875107	26.562799	-76.430153	26.312216	-75.929993	
460.738922	21.416161	174.073410	21.683805	173.168091	19.701496	234.312332	19.372463	234.624527	28.155561	-73.584358	28.011442	-73.224342	
462.329987	21.469349	181.323868	21.527590	180.138885	20.928862	241.554016	20.640953	241.414703	29.841295	-71.363808	29.621714	-70.917679	
463.920990	21.524357	188.128845	21.507402	187.091980	22.177145	246.656845	21.962631	247.349594	31.457113	-69.540688	31.165272	-68.975693	
